id,uuid,titles,aliases,first_name,last_name,suffix,dob,birthplace,dod,profession,misc,house_id
23,395e9e10-9544-4fc6-b0c7-c94a181f72d1,"[""Lady""]",,Margot,Fenring,,Unknown,Unknown,Unknown,"[""Bene Gesserit Sister""]",,4
24,e928fd4b-8733-4bf9-b55c-351e4c841761,,,Dalak,Fenring,,Unknown,Unknown,Before 10219 AG,,,4
25,45194e12-c0b9-4d62-8878-5441c3336c20,,,Essas,Paymon,,Unknown,Unknown,After 10210 AG,"[""Spy""]",9,
26,f49c71d5-275d-4e6a-8689-acb0a3c0d766,,,Ali Ben,Ohashi,,Unknown,Unknown,Unknown,,,
27,c3626ed7-af43-4b69-9aa9-2af029c38af0,"[""Captain""]",,Aramsham,,,Unknown,Unknown,Unknown,"[""Soldier""]",,
28,b0f1c8fe-0008-48e0-a683-b817dbaab36c,"[""Officer""]",,Arkie,,,Unknown,Unknown,10191 AG,"[""Soldier""]",,1
29,9095ed6f-3e6f-4e87-a5d2-d7d2d59a1701,,"[""Sihaya""]",Chani,Kynes,,10177 AG,Arrakis,10205 AG,"[""Fighter""]",,
30,b59190d1-cf12-454a-a7b5-37086f680462,"[""Captain""]","[""The Leaper""]",Chatt,,,Unknown,Unknown,Unknown,"[""Fighter""]",Leader of the Fedaykin.,
31,3f3525ea-77d4-40cc-ae58-5202678d6ab0,,,Czigo,,,Unknown,Unknown,10191 AG,"[""Soldier"", ""Assassin""]",,2
32,5175126a-dd0b-47c4-80f8-50cc00f6d001,,,Drisq,,,Unknown,Unknown,Unknown,"[""Quartermaster""]",Quartermaster of Tuek's Sietch.,
33,6c7917ce-0d3c-4503-8ff2-573fd46a3b16,,,Coss,,,Unknown,Unknown,Unknown,"[""Spice Harvester Worker""]",Member of the Harvester crew saved by Duke Leto Atreides I.,
34,695083ed-c1c5-471e-bf96-842fd1d8aef5,"[""Swordmaster of Ginaz"", ""Commander of the Fish Speakers""]","[""Hayt""]",Duncan,Idaho,,Unknown,Giedi Prime,"10191 AG, 10219 AG and 13728 AG","[""Soldier""]",Reincarnated several times as a Tleilaxu ghola.,1
35,ee099624-f68c-4ac6-8005-50ffe9e443b8,"[""Padishah Emperor""]",,Elrood,Corrino,IX,Unknown,Unknown,10156 AG,"[""Ruler""]",,3
36,2dbd88bf-38f8-43ab-8954-ef0d4045022a,,,Esmar,Tuek,,Unknown,Unknown,10191 AG,"[""Smuggler""]","A successful spice smuggler operating in the polar regions of Arrakis, that had secret arrangements with the Fremen.",
37,4790354b-29ab-4eb2-97b2-2f309bcb2e8e,"[""Bashar of the Ninth Legion""]",,Farok,,,Unknown,Unknown,10208 AG,"[""Fighter""]",,
38,188663dc-a4f6-4499-b3b0-5d40403f0a0f,,,Farrukh,,,Unknown,Unknown,Unknown,"[""Fighter""]",,
39,30f7b1e1-fbfe-4c3f-92b7-72073dc0cd78,,,Fedor,,,Unknown,Unknown,Unknown,"[""Soldier""]",,1
40,d1f50fcd-3f6e-4926-91ab-c6b8ddeec25a,"[""Reverend Mother""]",,Gaius Helen,Mohiam,,Unknown,Unknown,10210 AG,"[""Bene Gesserit Sister""]",,
41,e0e30d1d-229c-4772-95d6-301509feba12,,,Geoff,,,Unknown,Unknown,Unknown,"[""Fighter""]","First husband of Harah, who was killed by Jamis in a duel.",
42,26fe0e89-5995-435f-9933-e6c25a097426,,,Harah,,,Unknown,Unknown,Unknown,,"Widow of Jamis and wife by custom of Paul Atreides, after Paul killed Jamis in a duel. Later, she became the nurse to Alia and subsequently Leto Atreides II and Ghanima. She also became the wife of Stilgar.",
43,27ceb5c2-e33a-44a1-91e5-b5bb901772d5,"[""Captain""]",,Iakin,Nefud,,Unknown,Unknown,Unknown,"[""Soldier""]",Promoted to Captain of the House Harkonnen guard after Umman Kudu's death by Leto Atreides I's poisoned tooth attack.,2
44,de00a4de-e662-4a50-bc7b-df347d7c6998,,,Jamis,,,10159 AG,Arrakis,10191 AG,"[""Fighter""]",,
45,0bd7ac66-9d8a-4914-8ac8-4639f45b863f,,,Kaleff,,,Unknown,Unknown,Unknown,,"Son of Geoff who was taken in by Jamis after his father lost his life in a duel with Jamis. When Jamis lost his life in a duel with Paul Atreides, Kaleff was taken in by House Atreides.",
46,9cbe142e-80da-4e78-b5d5-f2d02fb4ccf0,,"[""Scarface""]",Kinet,,,Unknown,Unknown,10191 AG,"[""Soldier"", ""Assassin""]",,2
47,0e00823a-cdc4-467c-b1eb-f6f339d1d2ab,"[""Panegyrist"", ""High Priest""]",,Korba,,,Unknown,Arrakis,10210 AG,"[""Fighter"", ""Priest""]",,
48,13325770-205f-43d0-a27e-ead677dd48f7,,,Larus,,,Unknown,Unknown,Unknown,"[""Fighter""]",Member of the troupe who found Paul and Jessica Atreides at Tuono Basin.,
49,ce241fbd-91d6-4328-80b2-426fa61801a4,,,Lemil,,,Unknown,Unknown,Unknown,"[""Fighter""]",Member of the troupe who found Paul and Jessica Atreides at Tuono Basin.,
50,fcc1a01c-aa18-4dcd-b875-d9d388964f9c,"[""Imperial Planetologist""]","[""Liet-Kynes"", ""Dr. Kynes""]",Liet,Kynes,,10156 AG,Unknown,10191 AG,"[""Planetologist"", ""Ecologist""]",Leader of the Fremen when the Atreides arrived on Arrakis.,
51,b536c460-9851-4769-8fcc-323666dbac7f,,,Lingar,Bewt,,Unknown,Unknown,,"[""Water Seller""]",A water seller who mined ice from the north polar region to be sold as water. Maintained a summer mansion near his polar cap factory.,
